Date,Avg Temperature
2010-10-17,81.7
2010-10-18,81.9
2010-10-19,82.6
2010-10-20,81.4
2010-10-21,80.1
2010-10-22,76.7
2010-10-23,75.5
2010-10-24,73.8
2010-10-25,73.3
2010-10-26,75.0
2010-10-27,73.6
2010-10-28,73.0
2010-10-29,73.4
2010-10-30,74.3
2010-10-31,75.1
2010-11-01,71.3
2010-11-02,71.8
2010-11-03,70.0
2010-11-04,72.1
2010-11-05,71.4
2010-11-06,72.8
2010-11-07,73.4
2010-11-08,74.6
2010-11-09,75.4
2010-11-10,68.2
2010-11-11,71.8
2010-11-12,74.8
2010-11-13,71.0
2010-11-14,73.8
2010-11-15,71.5
2010-11-16,71.5
2010-11-17,68.2
2010-11-18,70.3
2010-11-19,66.4
2010-11-20,63.1
2010-11-21,65.4
2010-11-22,66.6
2010-11-23,65.9
2010-11-24,64.0
2010-11-25,66.6
2010-11-26,64.8
2010-11-27,65.1
2010-11-28,64.0
2010-11-29,62.1
2010-11-30,62.1
2010-12-01,60.6
2010-12-02,61.4
2010-12-03,59.4
2010-12-04,59.4
2010-12-05,60.6
2010-12-06,57.9
2010-12-07,59.5
2010-12-08,58.6
2010-12-09,59.7
2010-12-10,56.4
2010-12-11,54.2
2010-12-12,58.4
2010-12-13,59.0
2010-12-14,57.8
2010-12-15,58.4
2010-12-16,59.9
2010-12-17,60.8
2010-12-18,56.3
2010-12-19,55.6
2010-12-20,55.0
2010-12-21,55.1
2010-12-22,59.3
2010-12-23,59.4
2010-12-24,60.4
2010-12-25,51.7
2010-12-26,51.2
2010-12-27,52.7
2010-12-28,53.3
2010-12-29,58.8
2010-12-30,59.7
2010-12-31,55.2
2011-01-01,51.1
2011-01-02,51.0
2011-01-03,50.0
2011-01-04,45.5
2011-01-05,46.4
2011-01-06,45.7
2011-01-07,48.1
2011-01-08,46.3
2011-01-09,45.2
2011-01-10,47.9
2011-01-11,52.1
2011-01-12,54.2
2011-01-13,60.7
2011-01-14,62.7
2011-01-15,57.6
2011-01-16,52.5
2011-01-17,54.6
2011-01-18,56.8
2011-01-19,51.8
2011-01-20,55.7
2011-01-21,59.4
2011-01-22,61.5
2011-01-23,60.3
2011-01-24,57.0
2011-01-25,59.8
2011-01-26,60.0
2011-01-27,53.3
2011-01-28,54.9
2011-01-29,58.4
2011-01-30,59.6
2011-01-31,57.6
2011-02-01,55.6
2011-02-02,60.7
2011-02-03,62.5
2011-02-04,65.8
2011-02-05,72.5
2011-02-06,71.0
2011-02-07,67.2
2011-02-08,60.3
2011-02-09,58.8
2011-02-10,59.4
2011-02-11,60.5
2011-02-12,66.2
2011-02-13,70.7
2011-02-14,65.1
2011-02-15,58.7
2011-02-16,61.3
2011-02-17,56.8
2011-02-18,58.5
2011-02-19,62.0
2011-02-20,61.5
2011-02-21,59.1
2011-02-22,60.5
2011-02-23,65.9
2011-02-24,65.7
2011-02-25,64.0
2011-02-26,62.4
2011-02-27,63.4
2011-02-28,64.9
2011-03-01,60.5
2011-03-02,65.8
2011-03-03,63.6
2011-03-04,63.3
2011-03-05,66.1
2011-03-06,65.5
2011-03-07,67.6
2011-03-08,69.4
2011-03-09,69.1
2011-03-10,67.2
2011-03-11,68.1
2011-03-12,68.5
2011-03-13,72.5
2011-03-14,74.3
2011-03-15,76.1
2011-03-16,76.2
2011-03-17,76.6
2011-03-18,80.5
2011-03-19,79.3
2011-03-20,77.2
2011-03-21,73.4
2011-03-22,76.1
2011-03-23,80.1
2011-03-24,78.8
2011-03-25,76.7
2011-03-26,79.1
2011-03-27,82.5
2011-03-28,82.6
2011-03-29,80.4
2011-03-30,79.7
2011-03-31,82.2
2011-04-01,80.4
2011-04-02,79.1
2011-04-03,79.0
2011-04-04,77.8
2011-04-05,81.6
2011-04-06,77.8
2011-04-07,79.7
2011-04-08,79.8
2011-04-09,82.6
2011-04-10,78.9
2011-04-11,82.6
2011-04-12,79.2
2011-04-13,82.2
2011-04-14,83.9
2011-04-15,86.0
2011-04-16,84.9
2011-04-17,78.2
2011-04-18,81.1
2011-04-19,81.4
2011-04-20,82.0
2011-04-21,85.7
2011-04-22,84.6
2011-04-23,86.5
2011-04-24,90.3
2011-04-25,92.0
2011-04-26,85.0
2011-04-27,87.2
2011-04-28,92.7
2011-04-29,93.9
2011-04-30,96.7
2011-05-01,93.0
2011-05-02,92.9
2011-05-03,93.5
2011-05-04,92.6
2011-05-05,89.5
2011-05-06,85.7
2011-05-07,88.6
2011-05-08,90.6
2011-05-09,95.1
2011-05-10,96.3
2011-05-11,98.0
2011-05-12,97.3
2011-05-13,93.3
2011-05-14,94.9
2011-05-15,96.7
2011-05-16,95.6
2011-05-17,97.7
2011-05-18,99.2
2011-05-19,95.3
2011-05-20,91.6
2011-05-21,79.6
2011-05-22,78.0
2011-05-23,87.4
2011-05-24,94.9
2011-05-25,95.9
2011-05-26,89.1
2011-05-27,88.3
2011-05-28,91.8
2011-05-29,92.9
2011-05-30,92.8
2011-05-31,95.0
2011-06-01,86.0
2011-06-02,86.4
2011-06-03,92.3
2011-06-04,94.5
2011-06-05,97.4
2011-06-06,98.9
2011-06-07,96.3
2011-06-08,91.3
2011-06-09,90.0
2011-06-10,84.0
2011-06-11,91.4
2011-06-12,89.2
2011-06-13,94.5
2011-06-14,94.8
2011-06-15,86.5
2011-06-16,89.1
2011-06-17,85.2
2011-06-18,87.3
2011-06-19,87.8
2011-06-20,90.1
2011-06-21,92.5
2011-06-22,92.7
2011-06-23,92.8
2011-06-24,93.5
2011-06-25,90.2
2011-06-26,82.7
2011-06-27,82.9
2011-06-28,85.5
2011-06-29,82.5
2011-06-30,85.1
2011-07-01,87.9
2011-07-02,88.1
2011-07-03,88.6
2011-07-04,91.4
2011-07-05,87.1
2011-07-06,85.3
2011-07-07,87.6
2011-07-08,82.3
2011-07-09,83.9
2011-07-10,84.4
2011-07-11,86.7
2011-07-12,88.6
2011-07-13,89.5
2011-07-14,85.0
2011-07-15,82.7
2011-07-16,85.0
2011-07-17,85.4
2011-07-18,85.9
2011-07-19,86.6
2011-07-20,86.6
2011-07-21,86.3
2011-07-22,87.2
2011-07-23,84.8
2011-07-24,85.9
2011-07-25,85.6
2011-07-26,87.7
2011-07-27,84.3
2011-07-28,83.8
2011-07-29,86.5
2011-07-30,87.3
2011-07-31,90.7
2011-08-01,88.7
2011-08-02,91.0
2011-08-03,86.5
2011-08-04,84.1
2011-08-05,85.2
2011-08-06,84.1
2011-08-07,86.9
2011-08-08,86.7
2011-08-09,85.8
2011-08-10,83.1
2011-08-11,82.8
2011-08-12,81.6
2011-08-13,84.7
2011-08-14,82.5
2011-08-15,80.6
2011-08-16,79.8
2011-08-17,83.1
2011-08-18,86.2
2011-08-19,81.8
2011-08-20,84.6
2011-08-21,87.4
2011-08-22,90.6
2011-08-23,82.4
2011-08-24,82.2
2011-08-25,85.7
2011-08-26,85.2
2011-08-27,84.7
2011-08-28,88.0
2011-08-29,88.5
2011-08-30,87.9
2011-08-31,90.0
2011-09-01,89.0
2011-09-02,88.2
2011-09-03,86.1
2011-09-04,81.6
2011-09-05,81.4
2011-09-06,82.9
2011-09-07,82.5
2011-09-08,84.0
2011-09-09,81.0
2011-09-10,85.6
2011-09-11,85.7
2011-09-12,84.4
2011-09-13,87.2
2011-09-14,86.8
2011-09-15,78.9
2011-09-16,82.9
2011-09-17,82.7
2011-09-18,82.6
2011-09-19,83.8
2011-09-20,83.0
2011-09-21,83.6
2011-09-22,80.6
2011-09-23,81.4
2011-09-24,83.6
2011-09-25,83.8
2011-09-26,83.1
2011-09-27,83.0
2011-09-28,82.3
2011-09-29,82.0
2011-09-30,83.9
2011-10-01,79.8
2011-10-02,82.5
2011-10-03,82.9
2011-10-04,83.8
2011-10-05,83.0
2011-10-06,82.3
2011-10-07,82.6
2011-10-08,83.6
2011-10-09,81.6
2011-10-10,81.5
2011-10-11,81.1
2011-10-12,81.7
2011-10-13,81.8
2011-10-14,83.0
2011-10-15,80.5
2011-10-16,79.2
2011-10-17,78.3
2011-10-18,77.9
2011-10-19,70.7
2011-10-20,78.1
2011-10-21,74.7
2011-10-22,77.3
2011-10-23,78.3
2011-10-24,78.1
2011-10-25,76.4
2011-10-26,74.4
2011-10-27,72.4
2011-10-28,72.3
2011-10-29,73.0
2011-10-30,71.0
2011-10-31,75.8
2011-11-01,74.3
2011-11-02,75.0
2011-11-03,75.1
2011-11-04,74.2
2011-11-05,72.7
2011-11-06,72.8
2011-11-07,71.4
2011-11-08,72.1
2011-11-09,74.5
2011-11-10,75.4
2011-11-11,73.4
2011-11-12,70.6
2011-11-13,72.4
2011-11-14,70.2
2011-11-15,71.2
2011-11-16,70.1
2011-11-17,70.5
2011-11-18,71.7
2011-11-19,69.8
2011-11-20,68.4
2011-11-21,70.2
2011-11-22,70.9
2011-11-23,70.2
2011-11-24,69.1
2011-11-25,67.8
2011-11-26,66.6
2011-11-27,65.4
2011-11-28,63.9
2011-11-29,63.2
2011-11-30,66.5
2011-12-01,65.0
2011-12-02,67.0
2011-12-03,66.0
2011-12-04,65.6
2011-12-05,68.5
2011-12-06,69.2
2011-12-07,68.4
2011-12-08,71.5
2011-12-09,63.8
2011-12-10,61.4
2011-12-11,58.4
2011-12-12,58.1
2011-12-13,57.5
2011-12-14,55.6
2011-12-15,56.4
2011-12-16,54.5
2011-12-17,55.2
2011-12-18,55.8
2011-12-19,54.2
2011-12-20,53.8
2011-12-21,57.8
2011-12-22,53.6
2011-12-23,50.5
2011-12-24,50.8
2011-12-25,53.6
2011-12-26,50.8
2011-12-27,53.2
2011-12-28,55.7
2011-12-29,55.8
2011-12-30,52.2
2011-12-31,59.0
2012-01-01,60.4
2012-01-02,56.2
2012-01-03,54.7
2012-01-04,57.9
2012-01-05,57.5
2012-01-06,57.2
2012-01-07,57.0
2012-01-08,53.8
2012-01-09,51.0
2012-01-10,49.4
2012-01-11,49.6
2012-01-12,50.7
2012-01-13,52.4
2012-01-14,59.3
2012-01-15,63.8
2012-01-16,58.1
2012-01-17,48.8
2012-01-18,48.7
2012-01-19,50.5
2012-01-20,46.9
2012-01-21,51.8
2012-01-22,51.2
2012-01-23,54.0
2012-01-24,55.8
2012-01-25,58.5
2012-01-26,58.4
2012-01-27,53.1
2012-01-28,54.7
2012-01-29,53.7
2012-01-30,54.8
2012-01-31,58.1
2012-02-01,56.3
2012-02-02,58.0
2012-02-03,60.5
2012-02-04,63.6
2012-02-05,60.9
2012-02-06,57.3
2012-02-07,55.6
2012-02-08,54.8
2012-02-09,51.9
2012-02-10,54.4
2012-02-11,58.6
2012-02-12,64.6
2012-02-13,64.3
2012-02-14,61.4
2012-02-15,59.0
2012-02-16,56.8
2012-02-17,58.0
2012-02-18,58.8
2012-02-19,62.1
2012-02-20,64.0
2012-02-21,70.9
2012-02-22,72.2
2012-02-23,66.9
2012-02-24,63.1
2012-02-25,61.2
2012-02-26,58.9
2012-02-27,62.5
2012-02-28,65.2
2012-02-29,68.0
2012-03-01,70.4
2012-03-02,69.4
2012-03-03,69.2
2012-03-04,77.4
2012-03-05,78.6
2012-03-06,71.9
2012-03-07,69.9
2012-03-08,65.9
2012-03-09,66.6
2012-03-10,67.0
2012-03-11,67.7
2012-03-12,71.8
2012-03-13,67.7
2012-03-14,66.2
2012-03-15,68.1
2012-03-16,73.2
2012-03-17,78.7
2012-03-18,81.6
2012-03-19,83.6
2012-03-20,77.6
2012-03-21,66.1
2012-03-22,65.4
2012-03-23,71.5
2012-03-24,76.1
2012-03-25,77.3
2012-03-26,82.2
2012-03-27,79.7
2012-03-28,78.7
2012-03-29,78.6
2012-03-30,80.5
2012-03-31,85.6
2012-04-01,85.8
2012-04-02,88.5
2012-04-03,88.3
2012-04-04,86.4
2012-04-05,86.4
2012-04-06,87.1
2012-04-07,87.4
